Date,Precip (mm),Solar (MJ/m2)
1/31/1986,43.5,17.1
2/28/1986,43.5,17.1
3/31/1986,67,18.6
4/30/1986,120.4,19.2
5/31/1986,160.6,18.2
6/30/1986,286,16.1
7/31/1986,332.5,14
8/31/1986,380.9,13.2
9/30/1986,243.2,14.5
10/31/1986,136.7,15
11/30/1986,21.5,15
12/31/1986,6.9,14.8
1/31/1987,6.9,16.1
2/28/1987,5.2,19.1
3/31/1987,12.1,21.3
4/30/1987,59.2,22.2
5/31/1987,148.6,20.1
6/30/1987,200.8,17.6
7/31/1987,220.4,16.1
8/31/1987,178.1,16.1
9/30/1987,227.5,16.3
10/31/1987,160.2,16.1
11/30/1987,112.8,15.7
12/31/1987,4.3,15.8
1/31/1988,4.6,16.7
2/29/1988,5.6,18.8
3/31/1988,14.9,20.9
4/30/1988,62.3,21.7
5/31/1988,182.6,19.7
6/30/1988,302.6,17.4
7/31/1988,459.9,14.8
8/31/1988,456.9,14.6
9/30/1988,328.6,15.3
10/31/1988,125.6,16.6
11/30/1988,3,16.7
12/31/1988,2,16.1
1/31/1989,0,16.5
2/28/1989,1.7,18.1
3/31/1989,8.1,19.4
4/30/1989,85.5,19.5
5/31/1989,172,18.4
6/30/1989,342.4,16.2
7/31/1989,388.3,14.5
8/31/1989,496.1,14
9/30/1989,346.1,14.7
10/31/1989,223.1,14.7
11/30/1989,27,14.8
12/31/1989,0.3,14.9
1/31/1990,20.7,16.1
2/28/1990,84.7,17
3/31/1990,97.9,19.5
4/30/1990,155.2,21
5/31/1990,144.7,20.5
6/30/1990,261.1,16.8
7/31/1990,229,15.3
8/31/1990,261.9,14.8
9/30/1990,193.7,16.1
10/31/1990,147.8,15.8
11/30/1990,61.4,15.7
12/31/1990,4.1,14.9
1/31/1991,4.1,15.8
2/28/1991,7.3,17.7
3/31/1991,20.9,19.8
4/30/1991,71.4,19.8
5/31/1991,453.4,17.8
6/30/1991,515.9,16.6
7/31/1991,632.9,14.5
8/31/1991,381.5,13.9
9/30/1991,308.7,13.6
10/31/1991,147.8,14
11/30/1991,13.9,14.9
12/31/1991,6.6,15
1/31/1992,101.8,15.3
2/29/1992,101.8,17.3
3/31/1992,102.9,19.4
4/30/1992,46.4,21
5/31/1992,109.7,20
6/30/1992,256.6,16.8
7/31/1992,246.4,15.3
8/31/1992,232.1,13.9
9/30/1992,120.4,15.5
10/31/1992,85.4,15.3
11/30/1992,36.4,15.9
12/31/1992,28.6,15.1
1/31/1993,28.6,16.1
2/28/1993,145.9,17.1
3/31/1993,135.8,19.7
4/30/1993,224.8,20.1
5/31/1993,177,19.5
6/30/1993,282.1,16.1
7/31/1993,255.3,13.4
8/31/1993,275.1,12.2
9/30/1993,259.8,12.1
10/31/1993,197.6,13.5
11/30/1993,108.3,14.2
12/31/1993,0.4,14.9
