Date,Precip (mm),Solar (MJ/m2)
1/31/1986,173.6,15.9
2/28/1986,173.6,15.9
3/31/1986,143.3,16.4
4/30/1986,163.8,16.2
5/31/1986,142.6,15.8
6/30/1986,166.1,15.5
7/31/1986,210.1,15.7
8/31/1986,234.6,16
9/30/1986,264.5,16.1
10/31/1986,349.9,15.4
11/30/1986,388.5,14.7
12/31/1986,367,14.5
1/31/1987,217.5,15.4
2/28/1987,177.8,16.2
3/31/1987,146.4,16.7
4/30/1987,167,16.4
5/31/1987,144.6,15.9
6/30/1987,168,15.5
7/31/1987,212,15.7
8/31/1987,236.1,16
9/30/1987,265.9,16.1
10/31/1987,351.4,15.4
11/30/1987,389.9,14.8
12/31/1987,367.4,14.6
1/31/1988,217.1,15.4
2/29/1988,176.2,16.2
3/31/1988,145.8,16.8
4/30/1988,167.1,16.5
5/31/1988,146.1,16.1
6/30/1988,169.3,15.8
7/31/1988,213.1,15.9
8/31/1988,236.8,16.2
9/30/1988,267.9,16.2
10/31/1988,356,15.5
11/30/1988,396.3,14.8
12/31/1988,473.7,15.1
1/31/1989,371.4,15.4
2/28/1989,327.6,16.4
3/31/1989,237.9,16.1
4/30/1989,313.6,16.5
5/31/1989,276.8,16.4
6/30/1989,314.4,16.8
7/31/1989,333,16.6
8/31/1989,410.5,15.9
9/30/1989,422.8,15.6
10/31/1989,323,15.3
11/30/1989,339.3,15.1
12/31/1989,278.9,15
1/31/1990,234,15.8
2/28/1990,179.5,16.6
3/31/1990,148.2,17.1
4/30/1990,169.4,16.9
5/31/1990,147.5,16.4
6/30/1990,170,16
7/31/1990,212.6,16.2
8/31/1990,235.1,16.4
9/30/1990,265.7,16.4
10/31/1990,352.7,15.6
11/30/1990,392.4,15
12/31/1990,361.6,14.9
1/31/1991,218.9,15.6
2/28/1991,161.3,16.7
3/31/1991,234.5,17.2
4/30/1991,366.8,17.1
5/31/1991,325.2,16.9
6/30/1991,302.3,16.7
7/31/1991,216.5,16.6
8/31/1991,243.3,16.5
9/30/1991,229.4,16
10/31/1991,231.2,15.6
11/30/1991,253.5,14.9
12/31/1991,184.4,15
1/31/1992,123.6,15.6
2/29/1992,88,16.5
3/31/1992,126.1,17
4/30/1992,201.6,16.5
5/31/1992,215.4,16.3
6/30/1992,219.3,16.1
7/31/1992,253.5,16
8/31/1992,306.2,15.5
9/30/1992,372.4,15.2
10/31/1992,349.6,14.8
11/30/1992,298.7,14.7
12/31/1992,231.7,14.6
1/31/1993,149,15.6
2/28/1993,178.4,16.3
3/31/1993,146.8,16.8
4/30/1993,167.4,16.5
5/31/1993,144.8,16
6/30/1993,168.3,15.7
7/31/1993,212.3,15.9
8/31/1993,236.5,16.2
9/30/1993,267.2,16.2
10/31/1993,354.4,15.5
11/30/1993,394.1,14.9
12/31/1993,330.5,14.7
1/31/1994,174.7,15.4
2/28/1994,88.9,16.3
3/31/1994,127.2,16.8
4/30/1994,203.1,16.3
5/31/1994,216.8,16.2
6/30/1994,220.4,15.9
7/31/1994,254,15.9
8/31/1994,306.5,15.4
9/30/1994,374,15
10/31/1994,352.2,14.6
11/30/1994,301.8,14.4
12/31/1994,225.4,14.6
1/31/1995,150.4,15.4
2/28/1995,162.9,16.4
3/31/1995,236.9,16.9
4/30/1995,370.5,16.8
5/31/1995,328.6,16.6
6/30/1995,305.3,16.4
7/31/1995,218.5,16.3
8/31/1995,245.5,16.2
9/30/1995,231.7,15.6
10/31/1995,233.6,15.1
11/30/1995,256.3,14.3
12/31/1995,218.1,14.5
1/31/1996,168.5,15.2
2/29/1996,159.1,16.2
3/31/1996,230.8,16.7
4/30/1996,360.4,16.6
5/31/1996,319.3,16.4
6/30/1996,298.2,16.2
7/31/1996,215,16.2
8/31/1996,242.1,16.1
9/30/1996,229,15.6
10/31/1996,231.5,15.1
11/30/1996,254.3,14.4
12/31/1996,328.5,15.1
1/31/1997,323,15.4
2/28/1997,331.3,16.6
3/31/1997,240.5,16.2
4/30/1997,316.9,16.5
5/31/1997,279.6,16.4
6/30/1997,314.4,16.7
7/31/1997,328.1,16.4
8/31/1997,402.7,15.7
9/30/1997,415.2,15.4
10/31/1997,317.6,15.1
11/30/1997,334,14.9
12/31/1997,328.1,14.6
1/31/1998,288.4,15
2/28/1998,362.4,15.5
3/31/1998,285,15.9
4/30/1998,355.1,15.9
5/31/1998,245.5,16.1
6/30/1998,274.5,16.3
7/31/1998,269.1,16.2
8/31/1998,285,16
9/30/1998,394.9,16.1
10/31/1998,396.8,15.9
11/30/1998,367.1,15.4
12/31/1998,211.6,14.9
1/31/1999,136.4,15.4
2/28/1999,87.8,16.2
3/31/1999,125.9,16.8
4/30/1999,201.2,16.4
5/31/1999,215,16.3
6/30/1999,220.4,16.1
7/31/1999,257.4,16.1
8/31/1999,312.4,15.5
9/30/1999,381.6,15.2
10/31/1999,359.6,14.7
11/30/1999,308.4,14.5
12/31/1999,214.6,14.5
1/31/2000,151.3,15
2/29/2000,215.7,15.8
3/31/2000,311.3,16.2
4/30/2000,394.5,16.3
5/31/2000,297.1,16
6/30/2000,229.1,15.9
7/31/2000,200.1,15.8
8/31/2000,261.3,15.8
9/30/2000,294.2,15.5
10/31/2000,243.2,15
11/30/2000,212.3,14.5
12/31/2000,293.5,14.1
1/31/2001,270.4,14.2
2/28/2001,458,14.2
3/31/2001,299.9,14.9
4/30/2001,377.7,15.2
5/31/2001,251.2,15.5
6/30/2001,297.7,15.7
7/31/2001,317.2,15.4
8/31/2001,311.2,15.5
9/30/2001,578.4,15.6
10/31/2001,655.3,15.5
11/30/2001,689.8,14.9
12/31/2001,398.3,14.4
1/31/2002,212.4,14.8
2/28/2002,109.6,15.8
3/31/2002,200,16.4
4/30/2002,334.3,16.5
5/31/2002,303.9,16.5
6/30/2002,285.7,16.2
7/31/2002,185.9,16.1
8/31/2002,251.2,15.8
9/30/2002,227.5,15.5
10/31/2002,232.3,15.1
11/30/2002,202.3,14.6
12/31/2002,129,14.6
1/31/2003,113.6,14.9
2/28/2003,93.1,15.6
3/31/2003,129.8,16.1
4/30/2003,172.5,15.9
5/31/2003,233.2,15.6
6/30/2003,262,15.4
7/31/2003,349.7,15.4
8/31/2003,384.4,15.2
9/30/2003,440.3,14.9
10/31/2003,370.4,14.7
11/30/2003,310.2,14.6
12/31/2003,275.8,15.2
1/31/2004,241.2,15.7
2/29/2004,281.9,16.7
3/31/2004,246.3,16.2
4/30/2004,274.7,16.4
5/31/2004,227.6,16.3
6/30/2004,320.9,16.4
7/31/2004,392.8,16.1
8/31/2004,504.4,15.4
9/30/2004,472.2,15.6
10/31/2004,357.9,15.7
11/30/2004,310.6,15.5
12/31/2004,480.7,15.7
1/31/2005,456.2,15.7
2/28/2005,382.4,16.5
3/31/2005,116.5,16.2
4/30/2005,243.8,16.4
5/31/2005,249,16.6
6/30/2005,313,17
7/31/2005,260.5,17.1
8/31/2005,293.9,16.7
9/30/2005,286.6,16.2
10/31/2005,225.9,15.9
