Date,Precip (mm),Solar (MJ/m2)
1/31/1986,336.9,16
2/28/1986,336.9,16
3/31/1986,313,16.6
4/30/1986,282.1,16.2
5/31/1986,304.6,15.3
6/30/1986,284.8,13.9
7/31/1986,301.2,13.6
8/31/1986,296.3,14.1
9/30/1986,328.1,15.3
10/31/1986,344.6,15.6
11/30/1986,351,15.5
12/31/1986,404.5,14.9
1/31/1987,380.6,15
2/28/1987,370.9,15.7
3/31/1987,301.4,16.4
4/30/1987,298.4,16.4
5/31/1987,260,15.6
6/30/1987,215.4,15.4
7/31/1987,150.6,15.9
8/31/1987,73.6,17.6
9/30/1987,29.7,18.6
10/31/1987,88.1,18.2
11/30/1987,222.7,16.9
12/31/1987,308,15.7
1/31/1988,327.3,14.8
2/29/1988,327.6,15.2
3/31/1988,379.9,15.7
4/30/1988,387.5,16.5
5/31/1988,302.4,16
6/30/1988,240.7,15
7/31/1988,220.1,15.3
8/31/1988,185.5,16.5
9/30/1988,206.3,18
10/31/1988,264.1,17.7
11/30/1988,412.4,16.5
12/31/1988,474.5,15.4
1/31/1989,420.5,15.3
2/28/1989,373.1,15.9
3/31/1989,302.3,16.6
4/30/1989,298.4,16.6
5/31/1989,259,15.8
6/30/1989,214.8,15.5
7/31/1989,150.3,16
8/31/1989,73.6,17.6
9/30/1989,29.7,18.8
10/31/1989,88,18.6
11/30/1989,222.5,17.4
12/31/1989,346,15.7
1/31/1990,420.9,15.4
2/28/1990,384.4,15.9
3/31/1990,376.6,16.5
4/30/1990,343.5,16.1
5/31/1990,292.6,15.5
6/30/1990,241.7,14.7
7/31/1990,156.6,15.3
8/31/1990,116.7,15.6
9/30/1990,89.9,17.6
10/31/1990,199.7,17.5
11/30/1990,314.5,16.9
12/31/1990,433.6,15.6
1/31/1991,376.3,15.1
2/28/1991,380.5,15.1
3/31/1991,319.5,15
4/30/1991,332.6,15
5/31/1991,236.8,15.7
6/30/1991,166.9,16.3
7/31/1991,91.1,17.4
8/31/1991,96.1,17.7
9/30/1991,139.7,18.3
10/31/1991,235.3,17.7
11/30/1991,494.8,16.7
12/31/1991,542.2,15.4
1/31/1992,532.3,15.2
2/29/1992,339.1,15.8
3/31/1992,315.2,16.5
4/30/1992,284.1,16.1
5/31/1992,306.9,15.3
6/30/1992,286.2,13.9
7/31/1992,301.7,13.6
8/31/1992,295.6,14.1
9/30/1992,330.1,15.4
10/31/1992,349.3,15.7
11/30/1992,358.9,15.7
12/31/1992,336.7,15.1
1/31/1993,319.3,14.5
2/28/1993,325.1,14.9
3/31/1993,376.3,15.6
4/30/1993,383.3,16.4
5/31/1993,298.7,16
6/30/1993,239.1,15.1
7/31/1993,220.2,15.5
8/31/1993,186.3,16.9
9/30/1993,206.3,18.3
10/31/1993,263.1,18.1
11/30/1993,410.5,16.8
12/31/1993,400.2,15.7
1/31/1994,356.9,14.7
2/28/1994,330.2,15
3/31/1994,383.2,15.7
4/30/1994,391.1,16.6
5/31/1994,305.4,16.3
6/30/1994,242.3,15.2
7/31/1994,220.6,15.4
8/31/1994,185.4,16.6
9/30/1994,206.8,18
10/31/1994,265.3,17.7
11/30/1994,414.4,16.5
12/31/1994,436.5,15.6
1/31/1995,406.2,15.9
2/28/1995,345.7,16.4
3/31/1995,321.5,17
4/30/1995,289.8,16.5
5/31/1995,313.2,15.6
6/30/1995,291.8,14.1
7/31/1995,307.5,13.8
8/31/1995,301,14.3
9/30/1995,333,15.6
10/31/1995,349.3,15.8
11/30/1995,355.5,15.7
12/31/1995,333,15.3
1/31/1996,315.3,14.7
2/29/1996,320.3,15.3
3/31/1996,370.9,15.8
4/30/1996,377.9,16.6
5/31/1996,294.5,16.1
6/30/1996,236.8,15.1
7/31/1996,219.2,15.4
8/31/1996,186,16.6
9/30/1996,205.3,18
10/31/1996,261.1,17.7
11/30/1996,407.2,16.5
12/31/1996,468.9,15.6
1/31/1997,416.2,15.1
2/28/1997,381.3,14.9
3/31/1997,320.2,15
4/30/1997,333.1,15.1
5/31/1997,237.1,15.9
6/30/1997,167.9,16.4
7/31/1997,92.7,17.3
8/31/1997,98.7,17.4
9/30/1997,142.5,17.9
10/31/1997,238.9,17.4
11/30/1997,501.2,16.3
12/31/1997,554.5,14.9
1/31/1998,586.3,14.6
2/28/1998,385.8,15.7
3/31/1998,378.5,16.4
4/30/1998,345.7,16.2
5/31/1998,294.9,15.7
6/30/1998,244.5,14.7
7/31/1998,159.4,15.2
8/31/1998,119.3,15.3
9/30/1998,92,17.2
10/31/1998,204.7,17.1
11/30/1998,322.4,16.6
12/31/1998,407.9,15.1
1/31/1999,413.7,15.1
2/28/1999,387.3,16.1
3/31/1999,378.1,16.7
4/30/1999,343.4,16.4
5/31/1999,291.6,15.8
6/30/1999,241.2,14.8
7/31/1999,156.6,15.3
8/31/1999,116.9,15.5
9/30/1999,90,17.5
10/31/1999,200.2,17.5
11/30/1999,315.3,16.9
12/31/1999,454.2,15
1/31/2000,397.4,14.8
2/29/2000,441.1,15.3
3/31/2000,324.3,16.1
4/30/2000,304.7,16.1
5/31/2000,236.3,15.5
6/30/2000,213.8,15.3
7/31/2000,162.1,15.5
8/31/2000,64.7,17.1
9/30/2000,26.3,17.3
10/31/2000,115.4,17.4
11/30/2000,248,16.4
12/31/2000,386.6,15.6
1/31/2001,390.4,15.4
2/28/2001,359.6,16
3/31/2001,313.2,16.6
4/30/2001,294.5,16.3
5/31/2001,218.2,15.4
6/30/2001,152.1,14.8
7/31/2001,78.7,14.9
8/31/2001,61.4,15.3
9/30/2001,75.2,16.8
10/31/2001,183,16.8
11/30/2001,292.2,16.4
12/31/2001,326.5,15.2
1/31/2002,291.8,15.5
2/28/2002,257.6,16.3
3/31/2002,274.6,17
4/30/2002,257.7,16.8
5/31/2002,229.4,15.7
6/30/2002,168,14.9
7/31/2002,118.3,15.6
8/31/2002,72.8,16.3
9/30/2002,100.5,18.2
10/31/2002,225,17.8
11/30/2002,335.6,17.7
12/31/2002,367.3,15.7
1/31/2003,418,15
2/28/2003,372.6,15.5
3/31/2003,377.3,15.8
4/30/2003,257.8,15.9
5/31/2003,202.3,15.7
6/30/2003,124.2,14.9
7/31/2003,74.5,15.5
8/31/2003,64.2,15.2
9/30/2003,125.2,17.1
10/31/2003,252.2,16.8
11/30/2003,435.7,15.8
12/31/2003,613,14.7
1/31/2004,593.9,14.9
2/29/2004,483.8,16.1
3/31/2004,305.7,16.7
4/30/2004,255.5,16.9
5/31/2004,199.8,16.8
6/30/2004,170.2,16.2
7/31/2004,84.6,17.1
8/31/2004,56.2,18.5
9/30/2004,7.5,20.3
10/31/2004,64,19.7
11/30/2004,154.8,17.9
12/31/2004,270.9,16
1/31/2005,299.2,15.8
2/28/2005,309.5,16.7
3/31/2005,271.2,17.2
4/30/2005,285.2,17
5/31/2005,274.1,16.2
6/30/2005,228,15.9
7/31/2005,140.8,16.5
8/31/2005,50.7,18.2
9/30/2005,23.8,18.9
10/31/2005,67.7,18.2
11/30/2005,159.5,16.3
12/31/2005,281.3,15.1
1/31/2006,344.8,15.3
2/28/2006,346.4,15.9
3/31/2006,324.8,16.7
4/30/2006,266.2,16.2
5/31/2006,295.5,14.7
6/30/2006,224.1,13.8
7/31/2006,220.1,13.5
8/31/2006,138.8,14.8
9/30/2006,124.8,16.1
10/31/2006,132,16.4
11/30/2006,215,16.5
12/31/2006,278.4,15.5
1/31/2007,377.8,15
2/28/2007,395.7,15.2
3/31/2007,456.5,15.8
4/30/2007,441.5,15.7
5/31/2007,360,14.7
6/30/2007,381.1,13.5
7/31/2007,290.9,14.3
8/31/2007,247,15.5
9/30/2007,122.3,17.6
10/31/2007,170.2,17.3
11/30/2007,242.4,16.5
12/31/2007,310.4,15.1
1/31/2008,355.9,14.9
2/29/2008,422.5,15.4
3/31/2008,442.7,15.8
4/30/2008,374.6,15.5
5/31/2008,307.4,15.1
6/30/2008,281.9,13.8
7/31/2008,228.2,13.8
8/31/2008,151.1,13.9
9/30/2008,73.8,15.4
10/31/2008,209.4,16
11/30/2008,321.4,15.1
12/31/2008,417.2,14.8
1/31/2009,318.8,15.1
2/28/2009,280.3,16.6
3/31/2009,273,17.2
4/30/2009,292.7,17
5/31/2009,262.3,16.1
6/30/2009,210.5,14.6
7/31/2009,159.9,14.5
8/31/2009,152.5,15
9/30/2009,285.2,16.4
10/31/2009,388.3,16.6
11/30/2009,443.7,16.3
12/31/2009,333.7,15.6
1/31/2010,293.7,15.2
2/28/2010,307,15.5
3/31/2010,363,16.3
4/30/2010,360.9,16.5
5/31/2010,351.5,15.6
6/30/2010,327.4,13.6
7/31/2010,432.9,13.2
8/31/2010,382.7,13.9
9/30/2010,437.8,15.8
10/31/2010,391.3,16.1
11/30/2010,481.5,15.8
12/31/2010,509.3,15.2
1/31/2011,421.6,14.9
2/28/2011,405.9,14.2
3/31/2011,306.4,13.9
4/30/2011,353.8,13.9
5/31/2011,238.8,16
6/30/2011,155.2,17.2
7/31/2011,53.6,18.6
8/31/2011,74.9,17.7
9/30/2011,143.2,17.8
10/31/2011,270.8,17
11/30/2011,845.1,15.8
12/31/2011,873.5,14.5
1/31/2012,809.4,13.9
2/29/2012,328,15.3
3/31/2012,346.5,16.2
4/30/2012,370.5,16.9
5/31/2012,305.4,16.2
6/30/2012,247.8,15.1
7/31/2012,188,15.4
8/31/2012,122.6,17.3
9/30/2012,54.4,19
10/31/2012,120.3,18.8
11/30/2012,276.6,17.3
12/31/2012,358.8,15.4
1/31/2013,387.2,14.6
2/28/2013,341.5,15
3/31/2013,425.4,15.8
4/30/2013,435.2,16.1
5/31/2013,365.7,15.6
6/30/2013,297.1,14.1
7/31/2013,223.7,14.6
8/31/2013,186.1,15
9/30/2013,146.4,17.6
10/31/2013,270,17.5
11/30/2013,405.4,16.8
12/31/2013,502.5,14.9
1/31/2014,428.7,15.1
2/28/2014,384.8,16.2
3/31/2014,334.1,17.1
4/30/2014,326.9,16.5
5/31/2014,293.7,15.7
6/30/2014,245.6,14.7
7/31/2014,146.1,15.3
8/31/2014,83.6,16.2
9/30/2014,22.6,18.4
10/31/2014,115.5,18.3
11/30/2014,232.4,17.4
12/31/2014,415.8,15.3
1/31/2015,479.5,14.8
2/28/2015,459.6,15.2
3/31/2015,407.5,15.8
4/30/2015,401.4,15.6
5/31/2015,367.4,15.3
6/30/2015,321.7,15.1
7/31/2015,229.4,16.3
8/31/2015,183.5,16.4
9/30/2015,117.1,17.6
10/31/2015,145.8,17.5
11/30/2015,245.4,17.6
12/31/2015,245.4,17.6
