Date,Precip (mm),Solar (MJ/m2)
1/31/1986,327.1,16.1
2/28/1986,327.1,16.1
3/31/1986,348.2,16.5
4/30/1986,309.1,16.7
5/31/1986,261.5,16.5
6/30/1986,168.3,15.9
7/31/1986,87.6,16.5
8/31/1986,65.7,17.3
9/30/1986,93.5,18.1
10/31/1986,295.3,17.6
11/30/1986,439.3,16.7
12/31/1986,484.3,16.1
1/31/1987,403.3,15.9
2/28/1987,329.5,16.2
3/31/1987,353,16.6
4/30/1987,315.3,16.8
5/31/1987,268.3,16.6
6/30/1987,172.4,15.9
7/31/1987,89.5,16.3
8/31/1987,66.8,17
9/30/1987,94.3,17.8
10/31/1987,296.1,17.3
11/30/1987,439.9,16.4
12/31/1987,482.9,15.3
1/31/1988,362.2,15.4
2/29/1988,314.6,15.8
3/31/1988,369.5,16.1
4/30/1988,326.4,15.9
5/31/1988,268.2,15.4
6/30/1988,133.1,15.5
7/31/1988,95.1,16.6
8/31/1988,42.9,17.7
9/30/1988,129.1,18.2
10/31/1988,210.9,17.4
11/30/1988,300,16.1
12/31/1988,295.2,15.8
1/31/1989,333,15.5
2/28/1989,327.2,16.2
3/31/1989,347.8,16.6
4/30/1989,308.3,16.8
5/31/1989,260.6,16.5
6/30/1989,168,15.9
7/31/1989,87.7,16.4
8/31/1989,66.1,17.1
9/30/1989,93,18.1
10/31/1989,291.6,17.7
11/30/1989,433,16.9
12/31/1989,465.5,16
1/31/1990,346.7,16.1
2/28/1990,360.8,16.6
3/31/1990,398.5,17.1
4/30/1990,419.6,16.8
5/31/1990,323.3,15.9
6/30/1990,277.3,15.1
7/31/1990,215.8,15.1
8/31/1990,283.7,15.7
9/30/1990,327.2,16.6
10/31/1990,473.8,16.8
11/30/1990,403.4,16
12/31/1990,394.2,15.3
1/31/1991,298.7,15.4
2/28/1991,391.5,16.4
3/31/1991,379.7,16.8
4/30/1991,313.9,16.3
5/31/1991,206.2,16
6/30/1991,150.5,15.1
7/31/1991,156,15.5
8/31/1991,177.1,15.6
9/30/1991,198,16.9
10/31/1991,271.3,16.8
11/30/1991,393.2,15.8
12/31/1991,423.6,14.8
1/31/1992,399.8,14.7
2/29/1992,309.5,15.7
3/31/1992,365.6,15.9
4/30/1992,324,15.6
5/31/1992,267.6,15.1
6/30/1992,132.7,15.2
7/31/1992,94.7,16.3
8/31/1992,42.7,17.5
